,Unnamed: 0,text,star,original,cluster,action_cluster
2342,2342,"['quality', 'mark', 'price', 'samsung', 'provide', 'good', 'quality', 'item']",2,Quality is not up to the mark. In the same price samsung is providing with good quality items.,0,3
2343,2343,"['cool', 'properly', 'heating', 'problem']",2,Cooling not doing properly and heating problem,0,5
2344,2344,"['poor', 'cool', 'quality', 'hour', 'need', 'coolingother', 'refrigerator', 'need', 'hour', 'coolingno', 'value', 'money', 'opinion', 'buy', 'refrigerator']",2,"Very poor cooling quality, 6 to 7 hours need for cooling.other refrigerator need only 2 to 3 hours for cooling.No value for money.
As my opinion dont buy this refrigerator.",0,6
2345,2345,"['ok', 'ok']",2,Ok ok 👍,0,5
2346,2346,"['good', 'prodect', 'get', 'base', 'stand']",3,"Good prodect, did not get the base stand",0,5
2347,2347,"['bad', 'door', 'workin']",3,Bad door not workin,0,4
2349,2349,"['refrigerator', 'fine', 'work', 'good', 'dilivery', 'person', 'rude', 'instalation', 'service', 'provide', 'otherwise', 'go', 'quality', 'product']",3,"Refrigerator is fine
Working good dilivery person was so rude and instalation service has not been provided otherwise you can go with the quality of the product",0,2
2350,2350,"['product', 'good', 'bt', 'rate', 'high', 'comparison', 'line', 'mkt']",3,Product is good bt rate high in comparison off line mkt.,0,3
2351,2351,"['value', 'money']",3,Value for money 💰💖,0,2
2352,2352,"['cooling', 'problem']",3,Cooling problem,0,5
2353,2353,['noise'],3,Noise,0,5
2355,2355,['fabulous'],3,Fabulous 😍,0,5
2360,2360,"['good', 'product', 'leg', 'fit', 'properly', 'base', 'give', 'save', 'day']",3,Good product but leg was not fitting properly base which given saved the day.,0,1
2363,2363,"['noisey', 'like', 'helicopter', 'sound']",3,Very noisey like helicopter sound,0,2
2364,2364,"['nice', 'product', 'disappoint', 'vegetable', 'casenot', 'work', 'properly']",3,"Nice product but disappointed for vegetable case,not working properly",0,3
2365,2365,"['fridge', 'make', 'huge', 'noise', 'thermostat', 'cut']",3,Fridge making huge noise at thermostat cut,0,5
2366,2366,"['okay', 'okay']",3,Okay okay,0,3
2367,2367,"['deep', 'freeze', 'work', 'properly']",3,Deep freeze not working properly,0,6
2368,2368,"['defective', 'product']",3,Defective product,0,1
2370,2370,['okay'],3,Okay,0,3
2371,2371,"['good', 'product', 'freeze', 'door', 'vibrate', 'scratch', 'take', 'care', 'use', 'value', 'money', 'overall', 'good', 'product', 'price', 'installation', 'product']",3,"This is a good product. Freeze door is vibrating. Scratch will be there so, we have to take care while using it.

It is value for money. Overall good product in this price.

There is no any installation for this product.",0,2
2372,2372,"['day', 'start', 'make', 'loud', 'hum', 'sound', 'disappoint', 'lg', 'rest', 'everything', 'ok']",3,"Just after 11 days it started making a loud humming sound. Very disappointed from LG.
Rest everything is ok.",0,3
2373,2373,"['product', 'good', 'condition', 'best', 'quality', 'range']",3,This products is very good condition and best quality of this range 👌,0,3
2374,2374,"['price', 'refrigerator', 'awesome', 'opinion', 'less', 'consume', 'electricity', 'nice', 'go', 'refrigerator']",3,By the price refrigerator was awesome my opinion and it is less consume electricity that's very nice and you have to go this refrigerator,0,6
2377,2377,"['good', 'productit', 'take', 'much', 'time', 'defrost']",3,Good product...it takes too much time for defrosting,0,5
2379,2379,"['thing', 'need', 'consider', 'plan', 'buy', 'size', 'freezer', 'small', 'chiller', 'size', 'unnecessary', 'big', 'reducing', 'available', 'space', 'overall', 'fridge', 'due', 'back', 'pipe', 'need', 'extra', 'space', 'hence', 'mindful', 'thinking', 'put', 'small', 'kitchen', 'vegetable', 'container', 'also', 'quite', 'small', 'suggest', 'take', 'look', 'fridge', 'store', 'purchase', 'online', 'otherwise', 'fridge', 'good', 'silent', 'operation']",3,"Few things you need to consider if you are planning to buy this :

1. Size of the freezer is very small.
2. Chiller size is unnecessary too big reducing available space overall of the fridge.
3. Due to the back pipes, you need an extra space hence be mindful if you are thinking to put in a small kitchen.
4. It's vegetable container is also quite small, suggest you to take a look at the fridge on some store before purchasing it online.

Otherwise fridge is good with silent operation.",0,6
2382,2382,"['good', 'product', 'space']",3,Good product but space,0,3
2387,2387,['ok'],3,Ok,0,5
2389,2389,"['colour', 'bed']",3,Colour very bed,0,3
2391,2391,"['picture', 'quality', 'bad', 'bright', 'ness', 'color', 'dim', 'think', 'lg', 'good', 'brought', 'satisfy']",1,"Picture quality is very bad.. bright ness is more.. color is very dim, thinking LG is good , brought this. But not satisfied..",0,5
2392,2392,"['within', 'day', 'get', 'problem', 'small', 'black', 'dot', 'see', 'screen', 'bad', 'experience']",1,"Within 15 days we got a problem, small black dots are seen on the screen, very bad experience,",0,1
2393,2393,"['bad', 'stand', 'flexible', 'stand', 'moment']",1,"Very bad, stand is not flexible, stand is not doing moment",0,4
2394,2394,"['still', 'wait', 'installation', 'technician', 'say', 'buy', 'wall', 'mount', 'install', 'otherwise', 'fix', 'back', 'panel', 'support', 'wallmount', 'bad', 'behaviour', 'technician', 'please', 'buy']",1,"Still we are waiting for installation but the technician saying if you buy a wall mount we will install otherwise we will fix the back panel which is support for wallmount
Very bad behaviour of technician please 🙏 don't buy this 😑",0,1
2396,2396,"['value', 'money', 'even', 'flipkart', 'delivery', 'get', 'delayed', 'worsed', 'day', 'dayone', 'purchase', 'well', 'product', 'within', 'price']",1,Not a value for money even the flipkart delivery is getting delayed and worsed day by day...one can purchase better product within this price ...,0,1
2397,2397,"['much', 'laggy', 'product']",1,Too much laggy product.,0,2
2398,2398,"['work', 'lg', 'tv']",1,"Not working lg tv,",0,3
2399,2399,"['bad', 'lg', 'tv', 'lack', 'taking', 'time', 'change', 'apps', 'slow']",1,Worst lg tv so lacking and taking time to change apps very slow,0,2
2401,2401,"['fit', 'badbiginchadaniki', 'yavaru', 'raledhu']",1,T v fitting very bad...biginchadaniki yavaru raledhu,0,1
2402,2402,"['star', 'never', 'purchase', 'product']",1,"0 Stars, Never purchase this product",0,4
2403,2403,"['never', 'think', 'dint', 'include', 'bluetooth', 'smart', 'tv', 'complete', 'waste', 'money']",1,Never thought they dint include Bluetooth in smart tv. Complete waste of money,0,3
2404,2404,"['stand', 'poor']",1,Stand is poor,0,2
2406,2406,"['display', 'poor', 'quality']",1,Display poor quality,0,3
2407,2407,"['wall', 'stand', 'good', 'simple', 'stand']",1,Wall stand not good it's simple stand,0,2
2408,2408,"['picture', 'quality', 'poor']",1,Picture quality very poor,0,3
2409,2409,"['please', 'buysave', 'money', 'display', 'work', 'properly', 'picture', 'get', 'stuck', 'playing']",1,"Please don't buy,save ur money
Display is not working properly
Picture is getting stuck while playing",0,3
2410,2410,"['audio', 'port', 'aux', 'available', 'tv']",1,Audio out port (AUX) is not available from TV,0,2
2411,2411,"['middle', 'class', 'valueble', 'money']",1,Middle class valueble money,0,6
2412,2412,"['picture', 'quality', 'bad', 'colour', 'show', 'less', 'white', 'show', 'even', 'aftet', 'change', 'setting', 'look']",1,"Picture quality is very bad. Colour shows less and white shows more. Even aftet changing the settings, it looks the same.",0,3
2413,2413,['best'],1,Not best,0,3
2414,2414,"['degree', 'view', 'colour', 'get', 'whiten', 'side', 'way', 'angle']",1,No 180 degree view colour gets whiten on side way angles,0,3
2415,2415,"['picture', 'quality', 'low']",1,Picture quality very low,0,3
2416,2416,"['tv', 'panel', 'quality', 'worst']",1,tv panel quality very worst,0,3
2418,2418,['poor'],1,Poor,0,4
2419,2419,"['tv', 'display', 'britness', 'low', 'display', 'set']",1,Tv display britness was very low after display setting,0,3
2420,2420,"['buy', 'lg', 'tv', 'inch', 'lead', 'display', 'work']",1,No buy this *LG TV 32inch because led display not working,0,3
2421,2421,"['tv', 'lead', 'tv', 'model', 'lcd', 'screen', 'backlight', 'lead', 'purchase', 'think', 'flipkart', 'support', 'replacement', 'tell', 'sir', 'plss', 'ask', 'lg', 'brand', 'show', 'small', 'box', 'pixel', 'picture', 'colour', 'also', 'worst', 'audio', 'ok', 'rating', 'think', 'purchase', 'model', 'tv']",1,"This tv not led tv
This model lcd screen
Backlight only led
So purchase before think
Flipkart not support replacement
There r told sir plss ask lg brand
Show small box pixels
Picture colour also worst
Audio only ok
But rating all 4
Before think after purchasing this model tv",0,3
2423,2423,"['buy', 'product', 'bad', 'product', 'sale', 'flipkart', 'seller', 'flipkart']",1,Not buy this product bad product sale by flipkart seller is flipkart,0,1
2424,2424,"['display', 'quality', 'poor']",1,Display quality is too poor,0,3
2426,2426,"['poor', 'quality', 'picture', 'quality', 'low', 'sound', 'quality', 'poor']",1,"Poor quality, picture quality is very low and sound quality is very poor",0,3
2427,2427,"['picture', 'quality', 'poor', 'price', 'range']",1,Picture Quality is very poor in this price range,0,3
2430,2430,"['picture', 'quality', 'poor']",1,Picture quality is very poor.,0,3
2431,2431,"['svc', 'part', 'pathetic', 'svc', 'instal', 'tv', 'properly', 'still', 'shake', 'also', 'technician', 'installed', 'tv', 'incline', 'fit', 'per', 'wall', 'surface', 'poor', 'svc', 'svc', 'end']",1,"Svc part is so pathetic, svc have not installed tv properly, it's still shaking, also technician have installed the TV incline, it's not fitted as per wall surface, so poor svc from svc end",0,2
2433,2433,"['mirror', 'cast', 'low', 'quality', 'waste', 'money', 'wrong', 'product', 'buy']",1,Mirror casting very low quality waste of money wrong product don't buy it,0,4
2434,2434,"['good', 'product', 'best']",1,Good Product But Not Best,0,3
2435,2435,"['expect', 'picture', 'clear']",1,Not as Expected . . . Picture is not clear,0,3
2437,2437,['interest'],1,Not interesting,0,1
2439,2439,"['order', 'oct', 'tv', 'deliver', 'oct', 'tv', 'get', 'installation', 'oct', 'tv', 'good', 'lg', 'coustomer', 'service', 'third', 'class', 'month', 'display', 'come', 'green', 'line', 'tv', 'display', 'become', 'fully', 'green', 'give', 'complaint', 'july', 'till', 'july', 'change', 'panel', 'accept', 'type', 'third', 'class', 'customer', 'service', 'lg', 'need', 'good', 'customer', 'service', 'look', 'device', 'lg', 'give', 'coustomer', 'service', 'skylark', 'associate']",1,"Order this on 11 oct 2023 Tv delivered on 21 oct 2023 Tv Got installation on 23 oct
Tv is Good But the LG coustomer Service is very Third class after 9 months in display it coming Green lines and TV display becomes Fully Green Given Complaint on 12 July 2024 till 22 july 2024 they didn't change my Panel I didn't Accept this types of third class customer services from LG if you need a Good customer service Look for Any Other Device (The LG has Given Coustomer Services To SKYLARK ASSOCIATES)",0,2
2440,2440,"['tv', 'remote', 'control', 'work', 'hd', 'quality', 'problem']",1,Tv remote control not working not hd quality problem,0,3
2442,2442,"['worth', 'buying', 'hd', 'ready', 'model', 'spend', 'get', 'full', 'hd', 'tv', 'small', 'size', 'poor', 'panel', 'quality', 'tv', 'basic', 'remote', 'recommend', 'sony', 'tv', 'best', 'raise', 'budget', 'get', 'sony', 'tv']",1,"Not Worth Buying Its HD Ready Model only, Spend Rs. 5000 more and get Full HD TV. ITS Very small size, Poor panel quality TV Very Basic Remote. Not at all Recommend, Sony Tvs are best Raise your budget and get a sony tv only.",0,3
2443,2443,"['mi', 'lead', 'tv', 'want', 'purchase', 'rd', 'one', 'parent', 'trust', 'guy', 'make', 'big', 'mistake', 'lg', 'beat', 'mi', 'ground', 'picture', 'quality', 'software', 'handle', 'design', 'wall', 'mount', 'even', 'remote', 'disappointed', 'compare', 'mi', 'tv', 'please', 'waste', 'money']",2,"I have 2 Mi led tvs and that's why I didn't want to purchase 3rd one for my Parents. Trust me guys, I made a big mistake. LG cannot beat Mi in any ground, Picture quality, Software handling, design, wall mount even the Remote, all disappointed me as compared to Mi tv.. Please don't waste your money as I did...",0,3
2444,2444,['buy'],2,Don't buy this,0,4
2446,2446,"['product', 'ok', 'delivery', 'insulation', 'worst']",2,Product ok delivery and insulation very very worst,0,2
2447,2447,"['quality', 'product', 'diminishes', 'compare', 'year', 'back']",2,Quality of product diminishes as compare to few years back,0,4
2448,2448,"['software', 'optimisation', 'bad', 'lag', 'issue', 'much', 'sone', 'time', 'automatically', 'colour', 'contrast', 'much', 'high', 'price', 'point', 'give', 'magic', 'remote', 'price', 'point', 'aware', 'company', 'lead', 'price', 'point', 'high', 'quality', 'lead', 'provide']",2,There software optimisation too bad lag issue too much and sone time automatically of and on and colour contrast not much high in this price point and not given magic remote in price point be aware you other company led in this price point high quality of led provided,0,3
2449,2449,"['review', 'tv', 'use', 'month', 'tv', 'light', 'weight', 'slick', 'design', 'okay', 'news', 'daily', 'soap', 'video', 'quality', 'ok', 'image', 'quality', 'pathetic', 'disappointed', 'time', 'hear', 'sound', 'want', 'good', 'sound', 'video', 'quality', 'tv', 'please', 'go', 'samsung', 'sony', 'lg']",2,"I am reviewing This TV after using it for 8 months
TV is light weight.
Slick Design.
Okay for News or daily soap.
Some video quality is ok but image quality is pathetic and you will be disappointed some times to hear the sound. If you want a good sound and video quality TV please go for Samsung Sony or LG above 20k+ but not this",0,3
2450,2450,"['picture', 'quality', 'good']",2,Picture quality not good,0,3
2452,2452,"['lg', 'tv']",2,LG TV,0,3
2453,2453,"['picture', 'quality', 'good']",2,Picture quality not good,0,3
2455,2455,"['provision', 'movable', 'stand', 'lead', 'stand', 'fit', 'service', 'engineer', 'inch', 'beyond', 'wall', 'look', 'bad', 'lead', 'also', 'safe', 'bad', 'experience']",2,There is no provision for a movable stand in the LED and which stand fit by the service engineer. It's 3-4inch beyond the wall. It's looking very bad and LED is also not safe. Bad experience.,0,2
2456,2456,"['tv', 'sound', 'bar', 'blutooth', 'connection', 'support']",2,This tv Sound bar Blutooth connection is support?,0,3
2457,2457,['okay'],2,Okay,0,3
2458,2458,"['star', 'tv']",2,1star tv,0,3
2459,2459,"['picture', 'quality', 'sound', 'quality', 'poor', 'donot', 'buy', 'anybody', 'return', 'policy', 'think', 'modelis', 'well', 'much', 'disappointed']",2,Picture quality and sound quality is very very poor donot buy anybody no return policy. I think 2020 model.is better than 2023 I am very much disappointed,0,3
2460,2460,"['picture', 'quality', 'good', 'good', 'move', 'samsung', 'otherssave', 'money']",2,Picture quality is Not good... better to move to Samsung and others.save ur money 🙂,0,3
2461,2461,"['remote', 'voice', 'control']",2,Remote not a voice control,0,5
2462,2462,"['display', 'quality', 'good', 'buy']",2,Display quality not good don't buy,0,3
2463,2463,"['picture', 'quality', 'poor']",2,Picture quality is poor,0,3
2464,2464,"['picture', 'quality', 'much', 'well', 'need', 'recharge', 'hd', 'channel', 'see', 'sound', 'much', 'bos', 'also', 'quality', 'good', 'mak', 'noise']",2,"Picture quality not much better u need to recharge HD channel to see..
Sound is only 16W not much boss also quality is good but not mak noise",0,3
2465,2465,"['tv', 'good', 'without', 'magic', 'remote', 'operate', 'webos', 'difficult']",3,Tv is good but without magic remote operating webos is very difficult,0,3
2466,2466,"['sound', 'bad', 'picture', 'dull']",3,"Sound not bad, pictures dull",0,3
2467,2467,"['problem', 'tv', 'ui', 'good', 'compare', 'android', 'tv']",3,The only problem with this tv is UI is not good as compared to android TVs,0,3
2469,2469,['ok'],3,Ok,0,5
2471,2471,['prize'],3,Over prized,0,3
2473,2473,"['tv', 'outdoor', 'good', 'quality', 'use', 'cheap', 'quality', 'fiber', 'plastic']",3,"TV outdoor is not good quality
Your using very cheap quality fiber or plastic",0,3
2474,2474,"['magic', 'remote', 'include']",3,Because Magic remote is not included,0,3
2475,2475,"['picture', 'quality', 'good']",3,Picture quality not good,0,3
2476,2476,['great'],3,Great,0,3
2477,2477,"['qality', 'good']",3,Qality are very good .,0,3
2480,2480,"['picture', 'quality', 'average']",3,Picture Quality Average,0,3
2481,2481,['average'],3,Average,0,3
2483,2483,['super'],3,Super,0,5
2484,2484,"['good', 'television']",3,Good television,0,3
2485,2485,"['samsung', 'well']",3,Samsung is better than this,0,3
2487,2487,"['us', 'powerelectricity']",3,uses more power/electricity,0,1
2488,2488,"['internet', 'connectivity', 'issue']",3,Internet connectivity issue.,0,4
2490,2490,['ok'],3,Ok,0,5
2491,2491,"['usb', 'port', 'work', 'slow', 'smart', 'name', 'work', 'like', 'normal', 'tv', 'work', 'slow']",3,"USB port is working very slow.
It's smart in name only. It works like a normal TV.
working very slow.",0,6
2492,2492,"['product', 'good', 'installation', 'process', 'complete', 'lg', 'technician']",3,Product is good but installation process is not completed by LG or any technician,0,2
2493,2493,"['good', 'picture', 'quality', 'best', 'satisfiedacer', 'qled', 'good']",3,Good picture quality.. but not best am not satisfied.acer qled is better then this.,0,3
2494,2494,"['need', 'option', 'audio', 'output', 'home', 'theatre', 'system', 'easily', 'set']",3,Need more options for audio output so that home theatre system can be easily setting....,0,3
2495,2495,"['value', 'money']",4,Value for money,0,2
2496,2496,"['month', 'research', 'purchase', 'nice', 'tv', 'inch', 'lg', 'update', 'tv', 'go', 'local', 'brand', 'extra', 'also', 'go', 'brand', 'one', 'time', 'investment', 'vtob', 'yr', 'plss', 'give', 'lg', 'magic', 'remote', 'ai', 'tv']",4,"After 1 month research, i purchased nice tv 32 inch lg 2023 update tv, don't go to local brand extra 2000 also go to brand it's one time investment to 5vtob10 yrs but plss give lg magic remote to all AI tv",0,1
2497,2497,"['picture', 'quality', 'mode', 'mark', 'per', 'price', 'justify', 'except', 'remote']",4,Picture quality and mode were up to the mark as per price justified except remote,0,3
2498,2498,"['tv', 'nice', 'installation', 'process', 'toomuch', 'late']",4,Tv is nice but installation process was toomuch of late,0,2
2499,2499,"['money', 'burget']",4,Money burget,0,4
2500,2500,"['good', 'tv', 'satisfy']",4,Very Good tv satisfied,0,3
2501,2501,"['like', 'tv', 'good', 'compare', 'tv', 'mi', 'android', 'smart', 'tv', 'sound', 'quality', 'product', 'good', 'imagine', 'without', 'purchase']",4,I like the tv it's is to good as compare to TV of Mi Android Smart TV the sound quality of the product is too good you can't imagine without purchase.,0,3
2503,2503,"['compare', 'others', 'brand', 'feature', 'lg', 'little', 'bit', 'expensive']",4,"Compared with others brands at same features, LG little bit expensive.",0,5
2504,2504,"['super', 'product', 'value', 'money']",4,Super product value for money,0,2
2506,2506,"['bring', 'lg', 'tv', 'inch', 'next', 'day', 'service', 'man', 'come', 'installed', 'satisfied', 'tvpicture', 'quality', 'sound', 'quality', 'good', 'lg', 'company', 'trust', 'brand', 'thank', 'flipkart', 'provide', 'good', 'smart', 'tv']",4,"I brought a LG tv 32 inch, and the next day service man came and installed it. I am satisfied for this tv.Picture quality and sound quality is good, LG company is trusted brand. Thank you Flipkart for providing this good smart TV.",0,2
2508,2508,"['miss', 'smart', 'voice', 'command', 'remote']",4,Missing smart voice command remote,0,3
2509,2509,"['good', 'picture', 'quality', 'delivery', 'installation', 'fast', 'thanks', 'flipkart']",4,Good picture quality.... Delivery and installation fast thanks Flipkart,0,2
2510,2510,"['like', 'lg', 'tv', 'value', 'money', 'performance', 'compare', 'different', 'tvnew', 'model', 'like']",4,I like lg tv because it value for money and its performance compare to other different tv.new model 2023.I like it.,0,3
2511,2511,"['device', 'picture', 'quality', 'okay', 'sound', 'quality', 'good', 'impress', 'operating', 'system', 'easy', 'understand', 'familiar', 'connectivity', 'easy', 'access', 'mobile']",4,"As the device is not 4k the picture quality is okay, Sound quality is so good and I am impressed with Operating system it was so easy to understand and it's so familiar to connectivity very easy to access from mobile",0,3
2512,2512,"['used', 'product', 'experience', 'good', 'also', 'expect', 'voice', 'remote', 'tv', 'otherwise', 'value', 'money', 'go']",4,I have used this product experience was good but I was also expecting voice remote with this tv but that was not there otherwise this is Value of money go for it,0,2
2513,2513,"['ok', 'super']",4,Ok super,0,5
2515,2515,"['picture', 'quality', 'good']",4,Picture quality is very good.,0,3
2516,2516,['awesome'],4,Just Awesome..,0,3
2517,2517,"['great', 'product', 'super', 'delivery', 'flipkart']",4,Great product..... super delivery 🚚 by Flipkart.,0,2
2519,2519,"['absolutely', 'good', 'product']",4,Absolutely good product,0,3
2520,2520,"['super', 'tv', 'budget']",4,Super tv in budget.,0,3
2522,2522,"['good', 'value', 'money', 'product']",4,Good value for money product,0,2
2523,2523,"['sometimes', 'screen', 'work', 'properly', 'automatically', 'crop', 'display', 'need', 'turn', 'turn', 'tv', 'work', 'properly', 'specification', 'good']",4,"Sometimes the screen will not work properly..
It automatically cropped the display. so need to turn off and turn on the TV then it works properly..
Other than that, all of the specifications are good.",0,6
2525,2525,"['good', 'midrange', 'tv']",4,Over all good . For midrange tv,0,3
2528,2528,"['good', 'picture', 'sone', 'good']",4,This is good but picture sone not good,0,3
2532,2532,['superb'],4,Superb,0,3
2534,2534,"['good', 'product', 'value', 'money', 'display', 'enhance']",4,Good product. value for money. But display should have enhanced,0,3
2537,2537,"['good', 'product', 'value', 'money']",4,Good product and value for money.,0,2
2539,2539,"['overall', 'good']",4,Overall good,0,3
2540,2540,['super'],4,Super,0,5
2541,2541,"['lg', 'best', 'product']",4,LG is best product.,0,3
2542,2542,['jj'],4,Jj,0,6
2547,2547,"['value', 'money']",4,Value for money,0,2
2548,2548,"['nice', 'product', 'limit', 'apps', 'support', 'use', 'vpn', 'software']",4,Nice product but limited apps supports cant use any vpn software,0,2
2549,2549,"['bad', 'compete', 'feature', 'available']",4,Not bad compete with same features available too,0,5
2550,2550,"['colour', 'quality', 'good']",4,Colour quality good,0,3
2551,2551,"['price', 'slightly', 'high', 'overall', 'satisfy']",4,"Price slightly high..
Overall satisfied",0,3
2553,2553,"['good', 'product', 'lg', 'always', 'trust', 'good', 'connectivity', 'good', 'sound', 'picture', 'quality', 'good', 'ease', 'operation', 'value', 'money', 'rating', 'give', 'usage', 'month']",4,"Good product
LG always trusted
Good connectivity
Good sound
Picture quality is very good
Ease of operation
Value for money
Above Rating gives as after usage of 2 months",0,3
2554,2554,"['best', 'product', 'lg', 'brand']",4,Best product from LG brand.,0,3
2555,2555,"['nice', 'picture', 'quality', 'sound', 'installation', 'process', 'fast']",4,Very nice picture quality and sound. Installation process is so fast,0,3
2556,2556,"['picture', 'quality', 'bad', 'bright', 'ness', 'color', 'dim', 'think', 'lg', 'good', 'brought', 'satisfy']",1,"Picture quality is very bad.. bright ness is more.. color is very dim, thinking LG is good , brought this. But not satisfied..",0,5
2557,2557,"['within', 'day', 'get', 'problem', 'small', 'black', 'dot', 'see', 'screen', 'bad', 'experience']",1,"Within 15 days we got a problem, small black dots are seen on the screen, very bad experience,",0,1
2558,2558,"['bad', 'stand', 'flexible', 'stand', 'moment']",1,"Very bad, stand is not flexible, stand is not doing moment",0,4
2559,2559,"['still', 'wait', 'installation', 'technician', 'say', 'buy', 'wall', 'mount', 'install', 'otherwise', 'fix', 'back', 'panel', 'support', 'wallmount', 'bad', 'behaviour', 'technician', 'please', 'buy']",1,"Still we are waiting for installation but the technician saying if you buy a wall mount we will install otherwise we will fix the back panel which is support for wallmount
Very bad behaviour of technician please 🙏 don't buy this 😑",0,1
2561,2561,"['value', 'money', 'even', 'flipkart', 'delivery', 'get', 'delayed', 'worsed', 'day', 'dayone', 'purchase', 'well', 'product', 'within', 'price']",1,Not a value for money even the flipkart delivery is getting delayed and worsed day by day...one can purchase better product within this price ...,0,1
2562,2562,"['much', 'laggy', 'product']",1,Too much laggy product.,0,2
2563,2563,"['work', 'lg', 'tv']",1,"Not working lg tv,",0,3
2564,2564,"['bad', 'lg', 'tv', 'lack', 'taking', 'time', 'change', 'apps', 'slow']",1,Worst lg tv so lacking and taking time to change apps very slow,0,2
2566,2566,"['fit', 'badbiginchadaniki', 'yavaru', 'raledhu']",1,T v fitting very bad...biginchadaniki yavaru raledhu,0,1
2567,2567,"['star', 'never', 'purchase', 'product']",1,"0 Stars, Never purchase this product",0,4
2568,2568,"['never', 'think', 'dint', 'include', 'bluetooth', 'smart', 'tv', 'complete', 'waste', 'money']",1,Never thought they dint include Bluetooth in smart tv. Complete waste of money,0,3
2569,2569,"['stand', 'poor']",1,Stand is poor,0,2
2571,2571,"['display', 'poor', 'quality']",1,Display poor quality,0,3
2572,2572,"['wall', 'stand', 'good', 'simple', 'stand']",1,Wall stand not good it's simple stand,0,2
2573,2573,"['picture', 'quality', 'poor']",1,Picture quality very poor,0,3
2574,2574,"['please', 'buysave', 'money', 'display', 'work', 'properly', 'picture', 'get', 'stuck', 'playing']",1,"Please don't buy,save ur money
Display is not working properly
Picture is getting stuck while playing",0,3
2575,2575,"['audio', 'port', 'aux', 'available', 'tv']",1,Audio out port (AUX) is not available from TV,0,2
2576,2576,"['middle', 'class', 'valueble', 'money']",1,Middle class valueble money,0,6
2577,2577,"['picture', 'quality', 'bad', 'colour', 'show', 'less', 'white', 'show', 'even', 'aftet', 'change', 'setting', 'look']",1,"Picture quality is very bad. Colour shows less and white shows more. Even aftet changing the settings, it looks the same.",0,3
2578,2578,['best'],1,Not best,0,3
2579,2579,"['degree', 'view', 'colour', 'get', 'whiten', 'side', 'way', 'angle']",1,No 180 degree view colour gets whiten on side way angles,0,3
2580,2580,"['picture', 'quality', 'low']",1,Picture quality very low,0,3
2581,2581,"['tv', 'panel', 'quality', 'worst']",1,tv panel quality very worst,0,3
2583,2583,['poor'],1,Poor,0,4
2584,2584,"['tv', 'display', 'britness', 'low', 'display', 'set']",1,Tv display britness was very low after display setting,0,3
2585,2585,"['buy', 'lg', 'tv', 'inch', 'lead', 'display', 'work']",1,No buy this *LG TV 32inch because led display not working,0,3
2586,2586,"['tv', 'lead', 'tv', 'model', 'lcd', 'screen', 'backlight', 'lead', 'purchase', 'think', 'flipkart', 'support', 'replacement', 'tell', 'sir', 'plss', 'ask', 'lg', 'brand', 'show', 'small', 'box', 'pixel', 'picture', 'colour', 'also', 'worst', 'audio', 'ok', 'rating', 'think', 'purchase', 'model', 'tv']",1,"This tv not led tv
This model lcd screen
Backlight only led
So purchase before think
Flipkart not support replacement
There r told sir plss ask lg brand
Show small box pixels
Picture colour also worst
Audio only ok
But rating all 4
Before think after purchasing this model tv",0,3
2588,2588,"['buy', 'product', 'bad', 'product', 'sale', 'flipkart', 'seller', 'flipkart']",1,Not buy this product bad product sale by flipkart seller is flipkart,0,1
2589,2589,"['display', 'quality', 'poor']",1,Display quality is too poor,0,3
2591,2591,"['poor', 'quality', 'picture', 'quality', 'low', 'sound', 'quality', 'poor']",1,"Poor quality, picture quality is very low and sound quality is very poor",0,3
2592,2592,"['picture', 'quality', 'poor', 'price', 'range']",1,Picture Quality is very poor in this price range,0,3
2595,2595,"['picture', 'quality', 'poor']",1,Picture quality is very poor.,0,3
2596,2596,"['svc', 'part', 'pathetic', 'svc', 'instal', 'tv', 'properly', 'still', 'shake', 'also', 'technician', 'installed', 'tv', 'incline', 'fit', 'per', 'wall', 'surface', 'poor', 'svc', 'svc', 'end']",1,"Svc part is so pathetic, svc have not installed tv properly, it's still shaking, also technician have installed the TV incline, it's not fitted as per wall surface, so poor svc from svc end",0,2
2598,2598,"['mirror', 'cast', 'low', 'quality', 'waste', 'money', 'wrong', 'product', 'buy']",1,Mirror casting very low quality waste of money wrong product don't buy it,0,4
2599,2599,"['good', 'product', 'best']",1,Good Product But Not Best,0,3
2600,2600,"['expect', 'picture', 'clear']",1,Not as Expected . . . Picture is not clear,0,3
2602,2602,['interest'],1,Not interesting,0,1
2604,2604,"['order', 'oct', 'tv', 'deliver', 'oct', 'tv', 'get', 'installation', 'oct', 'tv', 'good', 'lg', 'coustomer', 'service', 'third', 'class', 'month', 'display', 'come', 'green', 'line', 'tv', 'display', 'become', 'fully', 'green', 'give', 'complaint', 'july', 'till', 'july', 'change', 'panel', 'accept', 'type', 'third', 'class', 'customer', 'service', 'lg', 'need', 'good', 'customer', 'service', 'look', 'device', 'lg', 'give', 'coustomer', 'service', 'skylark', 'associate']",1,"Order this on 11 oct 2023 Tv delivered on 21 oct 2023 Tv Got installation on 23 oct
Tv is Good But the LG coustomer Service is very Third class after 9 months in display it coming Green lines and TV display becomes Fully Green Given Complaint on 12 July 2024 till 22 july 2024 they didn't change my Panel I didn't Accept this types of third class customer services from LG if you need a Good customer service Look for Any Other Device (The LG has Given Coustomer Services To SKYLARK ASSOCIATES)",0,2
