,text,star
4188,Not good whoshing mashin very bed whosing mashin not prowide in 7 kg drum and drum is very very small size,1
4189,"Too much vibration in first use washing quality not good, detergent smell coming from washed clothes, installation very poor they told me no warranty for spares just service support because i purchased from Flipkart.. forcing me to buy AMC .",1
4190,"Sound like generator.
Worst product I have ever seen",1
4191,Not bad,1
4192,Spinning time very High vibration and lg sevice person installation and demo was worst I am not happy not recommended lg washing machine go to other brands,1
4193,LG has worst customer service. Installation and demo was not done in time I had call them multiple times through Flipkart and through LG customer care as well. Think before buying LG product. I wish could have order Samsung or any other.,1
4194,"Very much small size inside , only 2 to 3 family members it's",1
4195,No difference after washing,1
4196,Not working... Defect product recieved,1
4197,Not at all good,1
4198,"Wash Queality is very Bad, Waste of Money, it will take lot of time to wash ranging from 30 Minutes to 2.5 Hours. Even though product Build queality is good and comes with good discounts then what is use of buying this when performance is Poor. I thought of Returing this product. Specially the person who came for installation of this washing machine has very poor knowledge, rushed and completed installation for your in 10 minutes without explaining anything about the washing machine. He is ...
READ MORE",1
4199,Damge,1
4200,"Machine works smoothly and silent only for 2 days,after that it becomes noisy. It also hasn't 'cloth add on' function. Didn't expect this type of service from LG.",1
4201,The product have too shakey.. And the installation was not proper... According to the floor level..,1
4202,"Product is good
But service centre response too worst",1
4203,"This mation we used after 1 month, it's not perform. I lass my money. Please don't buy. Very dissopaint",2
4204,Quick wash for 30 mins properly not washing clothes as other washing machines model does so,2
4205,"For my product there is door lock problem,it has to be pushed hard to lock and when power goes off it doesn't auto starts we have to start it again.",2
4206,Product is not working proper,2
4207,Clothes damaging quic,2
4208,Waste of money,2
4209,Superb product by LG.. I loved it!,2
4210,"I bought this for 6.9k. the major cone is they are not providing Filter we need to pay extra 1200rps for this while installation so don't buy purifiers without filters. V-Guard purifiers are best, they are providing filters along with purifier.",2
4211,"Strains are not removed, tea, turmeric,etc",2
4212,More noise while running washing machine.,2
4213,7kg washing machine Compare to other product drum size is very small,2
4214,The lid does not lock properly and the sound and vibration is high,2
4215,Always showing door error,2
4216,"Poor product within 2 months problem coming, smelling very poor, even i cleaning tub regularly through chemical nd as wel as harpik but no solution...",2
4217,"Product is good but
Flipkart service is bad",2
4218,Ok good working,3
4219,Recent purchased 8 kg LG washing Machine has an issue of making to much noise while drying clothes.,3
4220,The performance is very good. My mom is very happy to in this gift....,3
4221,Overall washing machine is good but in that price we can get Bosch and ifb washing machine with more and good features. Also built quality is not good in lg washing machine,3
4222,Good product,3
4223,This product as per value not happy,3
4224,"My old Lg 6kg front load washing machine was far better compared to this 7kg in terms of load capacity, it was taking as much as load than this 7kg.. Washing-wise it's fine, but if we are loading a little more than usual, it stucks at 7mins during the last spin cycle..",3
4225,"I don't know why but this washing machine takes too much time to wash clothes.
For example i set on a cotton mode wash. It took 1hr 52 minutes.
We buy any machine just to get work done by machine in less than the time we do.
The least time required is 30 minutes.
Also no information is shown on screen that at what spin speed it is going on. And at what temperature it will wash.
Also i faced an issue like dropped clothes in machine and clicked on start button but just after a second i stopped ...
READ MORE",3
4226,"Little Disappointed, It's not 7 Kg, smaller drum size than 5KG, newer version company reduced drum size but saying 7 Kg,
for 4 family famembers you should buy 9 Kgs
Performance wise good product",3
4227,It's not working properly and it will struck during the washing.,3
4228,Looking good we started checking the performance of machines hope leads to good durability,3
4229,It is good only but it vibrates a lot while spinning and makes noise coz of that,3
4230,Ok Good,3
4231,Rat cover is missing! Deliver it ASAP. Useless Flipkart customer care is not reachable through app. You select an option and it makes you wait forever before returning an answer.,3
4232,"Not upto the mark. My old 7kg lg front load was better than this 9kg. Unable to rotate after 4kg of dry weight. Not worth, samsung might be better",3
4233,"Touch screen very sensitive.

Not taking fabric conditioner from the tray",3
4234,Not better performance,3
4235,"Product is good
But installation by company took more time.
Check water pressure before installing.",3
4236,Good,3
4237,Super performance,5
4238,Stopped working just after 1.5 months... Now had to call the service Centre guy many times still the problems not getting solved...it seemed that when we buy from Flipkart we get used piece,1
4239,Do not purchase this product it's not working now.,1
4240,Waste of cost👎.blindly go for samsung or bosch.👍,1
4241,"Reviewed after five months of use, and compared with other brands of washing machines. This washing machine vibrating too much and making too much noise. Technician visited many times but problem not resolved. It is better to avoid LG for washing machines.",1
4242,"I have been utilizing this washing machine for approximately one year, however, it has proven to be ineffective in adequately cleaning garments. I deeply regret my decision to purchase this appliance. Despite experimenting with various types of detergents, including branded liquid detergents, the washing machine consistently produces unsatisfactorily soiled clothing. Furthermore, the clothes appear to be looser compared to those washed with our previous washing machine.",1
4243,Drum is too small,1
4244,"Up to 10 days no sound is there after that Sound is coming while spinning, after visiting tecnichian he said, this sound will come we will not do nothing.",1
4245,"The washing machine drum makes noise, so the installation not done and technician advised to replace. I am struggling to get proper support from Flipkart for more than a week, so I am asking refund, please do the needful.",1
4246,Bad,1
4247,Damaged Product,1
4248,Winter cloth function not properly work,1
4249,Water leaking from the front door and machine suddenly off and not spinning. Very worst experience with the LG front door. Don't buy this product.,1
4250,"Very Worst Product
Its PCB Board Is Blown In Just Next Day After Install",1
4251,"once it is locked u can't open the door, and it shows time 30 minut but takes 2 hours, don't waste Your Money",1
4252,Product is not good. Gasket was damage with in 3 washing. We complaint to customer care LG and flip kart there is no response and proper action. We totaly disappointed with this product and Waste of money.,1
4253,Product had water leakage problem service center person said exchange this product but in e-commerce site not accepting return or exchange...don't buy any electronic item on flipkart .iam going to lodge complaint on consumer court also,1
4254,Dont buy any product from Flipkart,1
4255,"Very small in size...
I thought it is not 7kg..
Very disappointed with dis product..
I saw this size after return date of my product..
Very dissatisfied vit this...",1
4256,Good But not satisfied,1
4257,NOT SATISFIED,1
4258,It's like a disaster its make so much noise,1
4259,"It's worst totally bad performance... LG service people also not supporting

Semi auto machines are much better than this...

No any response from LG for support...",1
4260,This is very small product and it is not useful and waste of money so pls do not buy this product,1
4261,9 kgs so excellent,1
4262,bass not safe,1
4263,"Waste of money,not cleaning clothes,",1
4264,Product not working,1
4265,"Dissatisfied!
I have ordered washing machine with steem option but I haven't receive as I was expected. Return and complaint option is not available. Please do not buy the product from this dealer.and any online shopping and Flipkart 😞😞😞",1
4266,Not washing properly getting same result and each program designed more than 2 hrs worst performance,1
4267,Poorest installation you could ever expect for..LG service is one of the worst kind..I already bought LG Air conditioner atleast they were good by the time of installation..But this one is horrible..The installation engineer treated us like they have given the machine for charity and started calling us singular..This will be my last LG product..Thank you LG..Life's not really good with you and your products..,1
4268,Washing time length very high,1
4269,Door has some problems. It has been 8 days no one came to fix the problem. Worst service from LG company . Don't buy any product from LG company. The service man don't rcv call .,1
4270,Worst product ever bought..everything i was my clothes there appear a small holes in my clothes..worst machine never buy it,1
4271,Not working,1
4272,"I like the washing mashin , but there is one drawback the washing machine is completely stuck to the ground , with no wheel , no stand provided.",1
4273,"This product is very worst, only 2 time washing, supply board problem",1
4274,Not good,1
4275,Door always throws error when you go for quick 30.,1
4276,Very bad maintenance,1
4277,Bad quality,1
4278,Very bad,1
4279,Good Product 👍 Must Buy,1
4280,"Worst, does not wash neatly very Worst product",1
4281,The product deliver was not satisfied.,1
4282,This has no spin option for opting .it has rinse and spin which takes too much time. Clothes are not drying,1
4283,Product is not in working,1
4284,Very bad...,1
4285,Very bad experience..,1
4286,"Waste of Money..

Didn't even ran once, Customer care is waste of time.. They don't even care what is the problem.

Better go for other brand,,,",1
4287,"Very poor experience about front load machine, many times door not unlock after fully washing, We cannot reset washing process in between washing....
Color of shirts not cleaned... Semi Auto Matic machine is better for India.",1
4288,"Worst product
Never expected such product from LG and Flipkart selling that
It is vibrating like anything after few days of usage
Return policy has lapsed and customer services are not responding",1
4289,Not good whoshing mashin very bed whosing mashin not prowide in 7 kg drum and drum is very very small size,1
4290,"Too much vibration in first use washing quality not good, detergent smell coming from washed clothes, installation very poor they told me no warranty for spares just service support because i purchased from Flipkart.. forcing me to buy AMC .",1
4291,"Sound like generator.
Worst product I have ever seen",1
4292,Not bad,1
4293,Spinning time very High vibration and lg sevice person installation and demo was worst I am not happy not recommended lg washing machine go to other brands,1
4294,LG has worst customer service. Installation and demo was not done in time I had call them multiple times through Flipkart and through LG customer care as well. Think before buying LG product. I wish could have order Samsung or any other.,1
4295,"Very much small size inside , only 2 to 3 family members it's",1
4296,No difference after washing,1
4297,Not working... Defect product recieved,1
4298,Not at all good,1
4299,"Wash Queality is very Bad, Waste of Money, it will take lot of time to wash ranging from 30 Minutes to 2.5 Hours. Even though product Build queality is good and comes with good discounts then what is use of buying this when performance is Poor. I thought of Returing this product. Specially the person who came for installation of this washing machine has very poor knowledge, rushed and completed installation for your in 10 minutes without explaining anything about the washing machine. He is ...
READ MORE",1
4300,Damge,1
4301,"Machine works smoothly and silent only for 2 days,after that it becomes noisy. It also hasn't 'cloth add on' function. Didn't expect this type of service from LG.",1
4302,The product have too shakey.. And the installation was not proper... According to the floor level..,1
4303,"Product is good
But service centre response too worst",1
4304,"This mation we used after 1 month, it's not perform. I lass my money. Please don't buy. Very dissopaint",2
4305,Quick wash for 30 mins properly not washing clothes as other washing machines model does so,2
4306,"For my product there is door lock problem,it has to be pushed hard to lock and when power goes off it doesn't auto starts we have to start it again.",2
4307,Product is not working proper,2
4308,Clothes damaging quic,2
4309,Waste of money,2
4310,Superb product by LG.. I loved it!,2
4311,"I bought this for 6.9k. the major cone is they are not providing Filter we need to pay extra 1200rps for this while installation so don't buy purifiers without filters. V-Guard purifiers are best, they are providing filters along with purifier.",2
4312,"Strains are not removed, tea, turmeric,etc",2
4313,More noise while running washing machine.,2
4314,7kg washing machine Compare to other product drum size is very small,2
4315,The lid does not lock properly and the sound and vibration is high,2
4316,Always showing door error,2
4317,"Poor product within 2 months problem coming, smelling very poor, even i cleaning tub regularly through chemical nd as wel as harpik but no solution...",2
4318,"Product is good but
Flipkart service is bad",2
4319,Ok good working,3
4320,Recent purchased 8 kg LG washing Machine has an issue of making to much noise while drying clothes.,3
4321,The performance is very good. My mom is very happy to in this gift....,3
4322,Overall washing machine is good but in that price we can get Bosch and ifb washing machine with more and good features. Also built quality is not good in lg washing machine,3
4323,Good product,3
4324,This product as per value not happy,3
4325,"My old Lg 6kg front load washing machine was far better compared to this 7kg in terms of load capacity, it was taking as much as load than this 7kg.. Washing-wise it's fine, but if we are loading a little more than usual, it stucks at 7mins during the last spin cycle..",3
4326,"I don't know why but this washing machine takes too much time to wash clothes.
For example i set on a cotton mode wash. It took 1hr 52 minutes.
We buy any machine just to get work done by machine in less than the time we do.
The least time required is 30 minutes.
Also no information is shown on screen that at what spin speed it is going on. And at what temperature it will wash.
Also i faced an issue like dropped clothes in machine and clicked on start button but just after a second i stopped ...
READ MORE",3
4327,"Little Disappointed, It's not 7 Kg, smaller drum size than 5KG, newer version company reduced drum size but saying 7 Kg,
for 4 family famembers you should buy 9 Kgs
Performance wise good product",3
4328,It's not working properly and it will struck during the washing.,3
4329,Looking good we started checking the performance of machines hope leads to good durability,3
4330,It is good only but it vibrates a lot while spinning and makes noise coz of that,3
4331,Ok Good,3
4332,Rat cover is missing! Deliver it ASAP. Useless Flipkart customer care is not reachable through app. You select an option and it makes you wait forever before returning an answer.,3
4333,"Not upto the mark. My old 7kg lg front load was better than this 9kg. Unable to rotate after 4kg of dry weight. Not worth, samsung might be better",3
4334,"Touch screen very sensitive.

Not taking fabric conditioner from the tray",3
4335,Not better performance,3
4336,"Product is good
But installation by company took more time.
Check water pressure before installing.",3
4337,Good,3
4338,Super performance,5
4339,Small,1
4340,Size is too small worst service by Flipkart,1
4341,No good quality just ok delivery is very bad body is poor quality and quality is not good,1
4342,High volume high vibration,1
4343,Delivery boy was quite rude. The driver rudely denied to support the delivery boy as he was struggling to carry the box rather they forced us to support the box. Also for a moment there was a heated discussion.,1
4344,Facing problem from very 1st day every day facing new problem,1
4345,Worst product... Very noisy,1
4346,Product drum is too small.pls don't take this one,1
4347,Technical issue,1
4348,"The noise this washing machine makes is just horrible
Too loud",1
4349,The product is Ok but the service is not good It was Taken last 20 days back but it is still Not Done the installation no one will contact us.. Filpkart service is also very bad Don't purchase,1
4350,"I received LG Washing Machine on 9th Nov 21
And installation not done till the date. No response from Flipkart and LG, very pathetic",1
4351,As per specs of 8.5kg size not accurate it smaller than all washing machine lg 8.5kg size is equal to 6.5 kg of any brand washing machine,2
4352,Small size not 8.5kg washing machine,2
4353,"I bought this product on Diwali offer. It was selected 8.5 kg but the size is equal to 6.5 kg.
It does sound while using this machine while washing the clothes.
It's not value for the money. Don't buy online.",2
4354,"Performance is not so good, clothes are not cleaning properly",2
4355,Not proper body Size,2
4356,Product is okay. Replacement facility is not upto expectation.,3
4357,Size difference is lot as a purchase 8.5 kg in comparison to 9 kg,3
4358,Good,3
4359,Not bad not good ok ok,3
4360,Okay,3
4361,good proud,3
4362,Good product,3
4363,No Thanks,3
4364,"Super
Price more
Need gift a cover",3
4365,Good,3
4366,"Very nice product by LG and satisfied shopping with Flipkart ,🙂",3
4367,Good,3
4368,Cover not attched macine and not proper hook to attached cover,3
4369,Very Good product,3
4370,Washing area small not actual 8.5kgs Size,3
4371,speed of washing bucket motor is not so efficient,3
4372,No buzzer working,3
4373,Goog machine,4
4374,"very good value of money, work is very good 👍",4
4375,GOOD PERFORMANCE👍👍👍,4
4376,Nice product,4
4377,Good,4
4378,Making noise during running,4
4379,Nice product,4
4380,Till now nice,4
4381,Nice to have👍🏻,4
4382,Nice,4
4383,Good,4
4384,Good,4
4385,Best product,4
4386,It is not working properly. All customers should buy from market so that we we can check.,4
4387,All over experience is good for this products.,4
4388,Over all quality is absolutely very very nice. Built quality everything but only issue is there is no such place to hold wire.,4
4389,"The product is good one.
The connection wire length is small.
And the draining pipe is too small.
Other are very good. Thanks flipkart.",4
4390,"Semi automatic washing machine which is from LG company and its weight is 8.5 kg and it washes clothes well, this is the best washing machine from all companies thanks Flipkart",4
4391,Nyc product thanks flipkart,4
4392,Good product,4
4393,"Good
Value for money
Instalation didnt done",4
4394,Valuable product,4
4395,LG washing machine best work,4
4396,Very nice product👌👌,4
4397,Good Product,4
4398,Good pro,4
4399,Good,4
4400,"It is a very good washing machine, you can also take it all.",4
4401,Good quality and product.Nice Awesome 👍,4
4402,"Good product
Little but expensive but is expected from well known brand like LG.
offer good quality.",4
4403,Value for money go for it.,4
4404,"Pros
Can wash 8.5 kg of clothes means you can use in large families too
Easy to install
Easy to use
And can use washing and spining at same time


Cons
Buzzer sound is not good
Spinner vibrates in one and many clothes it need to be balanced",4
4405,Lg is best Flipkart thanks,4
4406,Good,4
4407,Nice Product,4
4408,Product 👍 Awesome 👍,4
4409,Fantastic mind baloing 😉😉😉😉,4
4410,Machine is good but plug in wire is shirt . It should be slightly more to access plugs located at height.,4
4411,Good product,4
4412,Very good 👍,4
4413,Good,4
4414,Thanks,4
4415,Exllent to prodect,4
4416,Very good 👍🏻,4
4417,Everything is good. Just one thing I don't like is that the washer is not joined with its door.,4
4418,Good,4
4419,I have been using this model for 15 years So I ordered the same one more time,4
4420,Excellent condition and working. Go for it without any doubt.,4
4421,Good quality,4
4422,Easy to use and roller Jet work is very nice simply good 💯😊,4
4423,It's really awesome,4
4424,Superb,4
4425,Good,4
4426,"One month review, good purchase. Compact. Full plastic body. The washing tub doesn't feel 8. 5 KG. My old 6.5 KG LG washing m/c served me for 15 years without complain, was a metal body and felt bigger then the present 8.5 KG.",4
4427,Good,4
4428,Nyc,4
4429,Best Products this Price,4
4430,"Product is good, delivery time took almost 2 weeks .",4
4431,Super my LG Life is Good (NBS),4
4432,Product is good but the delivery boy behavior is very bad,4
4433,Nice 👍,4
4434,Good,4
4435,Very good,4
4436,Very good product. Thanks to flipcart.,4
4437,Good,4
4438,Product is very good I have bought it in Flipkart big billion days . Performance is too good but it's functions button need improvement. All is good,4
4439,Not good as expected...washing not goo,1
4440,many features are missing especially 60 min extreme program..which is basic..,1
4441,Don't buy this,1
4442,"Vibrations, machinei is moving a lot. stains are not cleaned properly.. Bad experience with LG appliances",1
4443,"Water inlet valve problem . In new machine?.
Not satisfactory...",1
4444,Same here filpkart very very poor quality west of money don't buy any purduct please 🙏 don't buy,1
4445,It's giving shock while putting clothes in to washing machine,1
4446,The door locking has some problem. It needs a long time press to display the lock key,1
4447,Worst,1
4448,"Worst experience, many issue created within 6 month,",1
4449,Good ra,1
4450,"Sometimes spins is not working. It is showing 1:20 mins but wash is not completing even it runs for more than 3 hours.
Even timer is not reducing, sometime stuck at 20 mins, 16 mins and 8 mins like that.

Dont go to this product....",1
4451,"Waste of money , it is taking a lot of time for duing function ,more than the time alotted",1
4452,I cannot pursue more regarding returning this product..my wife leg fracture due to which I bought this and my old Machine is also exchanged..I have no option but to cancel the return and start using it.. Total Hopelessness,1
4453,Very bad for daily use. It's take so much time 1:30 for washing nd not dry 70%. It's very bad. Don't buy it. We don't do anything for washing time.,1
4454,It's good machine but installation and demo team is not good they delay so much to install,1
4455,"Steam option you can not use
Water temperature you can not set
Both options are only to make customer fool..",2
4456,PCB Board problem in the washing machine,2
4457,"Comfort input into machine was worst, worst design.
Due to this design comfort is not going into machine , no use even after cleaning the comfort clots multiple times",2
4458,Working is slow,2
4459,"Drum size reduced. Steam Function only restricted to Baby Care wash, this feature given by the company very half-heartedly AND not disclosed fully in product description pre-sales! Smart Diagnose feature not explained by the Installer/Demo technician, when asked then stated to be a Corona/Covid time feature, not really required now!! Displayed Time Completion of wash load overshoots the time in reality.",3
4460,"I have upgraded from semi automatic to this, but not happy, because if your clothes are dirty enough than with using surf or arial liquid detergent they remain dirty, but in semi automatic, we can wash 2 times in same detergent to clean clothes. But in this machine it is not possible.",3
4461,Over all machine is ok but washing time is very late minimum 1 hour or 1 and 50 our and machine noice sound is high,3
4462,"Product is good

But stains were found on the below of the machine",3
4463,Good,3
4464,Ok,3
4465,Very noisy when it spins faster,3
4466,It's ok,3
4467,Getting heavy vibration,3
4468,Very disappointed,3
4469,"This is worst product we have ever bought.
It takes too long to get start.
We bought it for convince but really fed up with its operating system.",3
4470,Ok ok,3
4471,Value for money,3
4472,While drying it makes noise,3
4473,Machine is not working.... better to by from local shop not from flipkart,3
4474,"Very small drum , looks like 4 kg , but i bought 6.5 kg ,not sufficient for 4 member family,, plz buy 8kg if you want LG brand machine, others brand Drum is normal size but this is small

But performance wise it's good , and water saving also
Use ariel washing powder for best washing",3
4475,Loads less quantity of clothes,3
4476,nice,4
4477,"LG washing machine is working good, very easy it's operating .I like it",4
4478,"The product got delivered within 48hours and installation also got done on the same day itself! I am highly impressed by LG services.
We have washed clothes just once yet and everything seemed fine to us. Pretty happy with the product, delivery and installation. Better will be known with more usage.
Also, the drum is small so only 12-13 clothes can be washed at once.",4
4479,It s good value for money,4
4480,"Performance is good, silent
But drum size is small when compared to IFB machines with same kg
Cannot load more clothes.",4
4481,Simply superb,4
4482,"Very nice. Only concern on door lock, every time we need to push hard to lock and start to wash",4
4483,I have got 1 week back this washing machine it's been good for me no issues and no vibration is observed thank u LG,4
4484,This is Good product,4
4485,"Good machine, but costwise may reduce some amount for direct purchasers",4
4486,Nice and durable product,4
4487,Good,4
4488,Good,4
4489,Very good product ...Washing is very good .... All the clothes are neat and clean after wash ...,4
4490,Better than its price and utility....,4
4491,Awesome thank u LG,4
4492,"Using it from 3 months, slient and efficient",4
4493,It's good 👍,4
4494,Product is good. Installation and demo completed next day of delivery.,4
4495,Very good,4
4496,Good product,4
4497,After 4 days I am happy,4
4498,"I recently bought it in BBD, oct 2023. Though it is too early for its feedback but I am liking it a lot. In terms of cleaning, doing wonders with the task. I've been using LG for a very long time and have almost everything from LG only. I liked the customer care response and promptness( past and continuous experience).",4
4499,Awesome performance,4
4500,"Just go for it... Good for 4-5 member family

After Service facility is also good",4
4501,Avg products. Overall good,4
4502,"Overally Good. Little noise comes while spinning. The Service person told, it is due to pump operation",4
4503,Good product,4
4504,It is very good product 👌,4
4505,Good product,4
4506,good product,4
4507,Awesome product lg 💕💕 silent performance,4
4508,"Can do your daily task easily, + some other special kinds of washes",4
4509,Nice,4
4510,Product is good. It justifies the price. It operates silently. Overall a good product,4
4511,Very nice,4
4512,Overall good,4
4513,Nice product,4
4514,The product is very nice and value for money can anyone search for watching machine kindly check and consider this...,4
4515,Good product,4
4516,Smooth and comfortable for washing,4
4517,Good product,4
4518,LG products and services is best... Installation is same day... You can go for it 👍🏻,4
4519,The LG product is always my first priority and fully trust on it. The washing machine is absolutely good and we are loving it. Go for it.,4
4520,"Service is very good.
1. After an year, due to Cockroach inside the machine there was a software had glitch. The wash program runs and stops/reset in middle without completion. And asks for chose the program again. Which makes you to runs twice the same program.
2. DE error is thrown, on every wash start. However, re-run with door pressed will fix it.",4
4521,Good,4
4522,Nice product. Installation by LG service engineer is good and on time.,4
4523,Good,4
4524,Good,4
4525,Wonderful,4
4526,Nice 😊👍,4
4527,Nice good,4
4528,Good performance and looking also good,4
4529,Good,4
4530,"Best in the market.
Value for money.",4
4531,Good life's good,4
4532,I searched many washing machine after that i choose this LG and read many reviews...it's good,4
4533,1 week to delivered but design of machine is good,4
4534,"Best product under 20k fully automatic machine.
No noise better performance.thanks Flipkart .",4
4535,Very good product no more vibration no more sound easy to use no more functions superb,4
4536,"Must buy worth for money
Good product",4
4537,It's good as of now. But it's taking long time to wash.,4
4538,Good,4
4539,Not good product 😔,1
4540,No quality,1
4541,2nd wash spinning not work,1
4542,Not satisfied,1
4543,So so not good not bad first thing is lg not send any demo man so m not satisfied with the lg company,2
4544,Small size even it is 8kg machine,2
4545,Poor quality,3
4546,The product is very good and recommendable but in my case the delivery agents were very rude and I'm very disappointed by the service.,3
4547,It good but as per price not perfect,3
4548,Good,3
4549,Good product,3
4550,Good,3
4551,Very nice products,3
4552,Good,3
4553,Product quality,3
4554,Nice,3
4555,Nice,3
4556,Machine performance best . LG company good👍,4
4557,Very nice 👍,4
4558,Ok ok,4
4559,Gifted this to a friend for her wedding. She said everything's working fine. Loved it 👍,4
4560,Good,4
4561,Very good,4
4562,Just cool,4
4563,Easy to use,4
4564,Thanks,4
4565,Good,4
4566,"Always good, but provided drain pipe and power card is very small (1mtr).",4
4567,Worth for money 💲💰 so happy with this product,4
4568,Very good this,4
4569,Good 😊😊,4
4570,👍 good,4
4571,Dood,4
4572,Nice product,4
4573,Very good,4
4574,Nice Superb Product.,4
4575,Lg washing machine is best,4
4576,LG always good product,4
4577,I like it and most useful is good,4
4578,Over all good,4
4579,Great product.,4
4580,V good,4
4581,Very good... I would suggest this product,4
4582,Good,4
4583,Good Product,4
4584,Nice 👌,4
4585,It's good product. Good design. Good quality. Good performance. Value of money,4
4586,Value of money good product 😉😉,4
4587,Product is good,4
4588,Wort,4
4589,Nice product,4
4590,Good 👍,4
4591,Delivery at doorstep.Easy to use.Time saver,4
4592,It's a good,4
4593,Very nice 👌,4
4594,Nice,4
4595,Good,4
4596,Value for money definitely,4
4597,Good product,4
4598,Good product value of money,4
4599,Every thing is good,4
4600,Nice product within the budget,4
4601,Good,4
4602,Nice product,4
4603,"First of all, Thanks to Flipkart for fastest delivery. Product is too good as of now. Lets see the results after using it.",4
4604,"Good product , only thing is that power cord is quite small.
Else very good product",4
4605,Very good,4
4606,Product is very good but no one visited for demo so disappointed for that over all machine is working properly.,4
4607,Good product,4
4608,Working good. Used it 2 times till now. But it has too much sound while working,4
4609,"After 10 days use the results are good of performance,the dryer is awesome it's dries the clothes very well , overall Nice",4
4610,Gud ...,4
4611,This product is good,4
4612,Top quality no 1 product LG.,5
4613,Excellent product. Highly recommended.,5
4614,I love it this product thank you Flipkart superb wark performance I rating 5 star ⭐⭐⭐⭐⭐,5
4615,Value for money... Perfect for 4/5 members family,5
4616,Good product,5
4617,Very nice product lg 8kg,5
4618,Value for money thanks Flipkart or thanks LG best washing machine,5
4619,Very nice protect in LG..,5
4620,"I liked this product . I only used this for 1 time , and it's really wonderful. I'm so satisfied with this product. The design of the washing machine is so finished.The service of flipkart is so satisfying. thank you Flipkart , thank you LG.",5
4621,All over good,5
4622,Very nice product thanks flipcart,5
4623,Good product 👌 😄,5
4624,Nice wosing machine thanks Flipkart,5
4625,Awesome,5
4626,Best products in flipkart.,5
4627,Good product lg nice design,5
4628,Superb product value for money. Must purchase this one . Lg will never disappoint you,5
4629,Best washing machine by LG 👍,5
4630,Excellent product,5
4631,Super,5
4632,LG good quality no damage and fast delivery thanqu flipkard,5
4633,Good,5
4634,What a fantastic,5
4635,Very good washing machine..,5
4636,Good but old mo,5
4637,Very good,5
4638,Washing machines are good and value for money.,5
4639,Stopped working just after 1.5 months... Now had to call the service Centre guy many times still the problems not getting solved...it seemed that when we buy from Flipkart we get used piece,1
4640,Do not purchase this product it's not working now.,1
4641,Waste of cost👎.blindly go for samsung or bosch.👍,1
4642,"Reviewed after five months of use, and compared with other brands of washing machines. This washing machine vibrating too much and making too much noise. Technician visited many times but problem not resolved. It is better to avoid LG for washing machines.",1
4643,"I have been utilizing this washing machine for approximately one year, however, it has proven to be ineffective in adequately cleaning garments. I deeply regret my decision to purchase this appliance. Despite experimenting with various types of detergents, including branded liquid detergents, the washing machine consistently produces unsatisfactorily soiled clothing. Furthermore, the clothes appear to be looser compared to those washed with our previous washing machine.",1
4644,Drum is too small,1
4645,"Up to 10 days no sound is there after that Sound is coming while spinning, after visiting tecnichian he said, this sound will come we will not do nothing.",1
4646,"The washing machine drum makes noise, so the installation not done and technician advised to replace. I am struggling to get proper support from Flipkart for more than a week, so I am asking refund, please do the needful.",1
4647,Bad,1
4648,Damaged Product,1
4649,Winter cloth function not properly work,1
4650,Water leaking from the front door and machine suddenly off and not spinning. Very worst experience with the LG front door. Don't buy this product.,1
4651,"Very Worst Product
Its PCB Board Is Blown In Just Next Day After Install",1
4652,"once it is locked u can't open the door, and it shows time 30 minut but takes 2 hours, don't waste Your Money",1
4653,Product is not good. Gasket was damage with in 3 washing. We complaint to customer care LG and flip kart there is no response and proper action. We totaly disappointed with this product and Waste of money.,1
4654,Product had water leakage problem service center person said exchange this product but in e-commerce site not accepting return or exchange...don't buy any electronic item on flipkart .iam going to lodge complaint on consumer court also,1
4655,Dont buy any product from Flipkart,1
4656,"Very small in size...
I thought it is not 7kg..
Very disappointed with dis product..
I saw this size after return date of my product..
Very dissatisfied vit this...",1
4657,Good But not satisfied,1
4658,NOT SATISFIED,1
4659,It's like a disaster its make so much noise,1
4660,"It's worst totally bad performance... LG service people also not supporting

Semi auto machines are much better than this...

No any response from LG for support...",1
4661,This is very small product and it is not useful and waste of money so pls do not buy this product,1
4662,9 kgs so excellent,1
4663,bass not safe,1
4664,"Waste of money,not cleaning clothes,",1
4665,Product not working,1
4666,"Dissatisfied!
I have ordered washing machine with steem option but I haven't receive as I was expected. Return and complaint option is not available. Please do not buy the product from this dealer.and any online shopping and Flipkart 😞😞😞",1
4667,Not washing properly getting same result and each program designed more than 2 hrs worst performance,1
4668,Poorest installation you could ever expect for..LG service is one of the worst kind..I already bought LG Air conditioner atleast they were good by the time of installation..But this one is horrible..The installation engineer treated us like they have given the machine for charity and started calling us singular..This will be my last LG product..Thank you LG..Life's not really good with you and your products..,1
4669,Washing time length very high,1
4670,Door has some problems. It has been 8 days no one came to fix the problem. Worst service from LG company . Don't buy any product from LG company. The service man don't rcv call .,1
4671,Worst product ever bought..everything i was my clothes there appear a small holes in my clothes..worst machine never buy it,1
4672,Not working,1
4673,"I like the washing mashin , but there is one drawback the washing machine is completely stuck to the ground , with no wheel , no stand provided.",1
4674,"This product is very worst, only 2 time washing, supply board problem",1
4675,Not good,1
4676,Door always throws error when you go for quick 30.,1
4677,Very bad maintenance,1
4678,Bad quality,1
4679,Very bad,1
4680,Good Product 👍 Must Buy,1
4681,"Worst, does not wash neatly very Worst product",1
4682,The product deliver was not satisfied.,1
4683,This has no spin option for opting .it has rinse and spin which takes too much time. Clothes are not drying,1
